,,,9V,,,,,,12V,,,,,,,,,,,,,,,,,,,,
1) Bottom Fan,Time,Jute,Cotton,Linen,Control,,Time,Jute,Cotton,Linen,Control,,,,,,,,,,,,,,,,,,
,0,4.2,1.3,6.3,5.3,,0,5.4,5.6,5.7,4.8,,,,,,,,,,,,,,,,,,
,5,2.2,2,5.5,2.3,,5,3.4,5.1,4.6,3.6,,,,,,,,,,,,,,,,,,
,10,2.6,2.4,5.5,2.9,,10,3.9,5.5,5,3.2,,,,,,,,,,,,,,,,,,
,15,3.5,2.6,5.5,2.3,,15,4.2,5.9,5,2.4,,,,,,,,,,,,,,,,,,
,20,3.9,2.8,5.6,2.3,,20,4.6,5.9,5.1,2.4,,,,,,,,,,,,,,,,,,
,25,4.3,3.5,5.7,2.3,,25,5,6.3,5.4,2,,,,,,,,,,,,,,,,,,
,30,4.7,3.9,5.8,2.1,,30,5.4,6.3,5.4,1.6,,,,,,,,,,,,,,,,,,
,35,5.1,4.3,6.1,2.5,,35,5.8,6.7,5.4,1.6,,,,,,,,,,,,,,,,,,
,40,5.1,4.3,6.1,1.3,,40,5.4,6.7,5.4,1.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9V,,,,,,12V,,,,,,,,,,,,,,,,,,,,
2) Top Fan,Time,Jute ,Cotton,Linen,Control,,Time,Jute ,Cotton,Linen,Control,,,,,,,,,,,,,,,,,,
,0,3.7,3.3,1.8,0.6,,0,,,,,,,,,,,,,,,,,,,,,,
,5,3.3,3.9,1.2,0.6,,5,,,,,,,,,,,,,,,,,,,,,,
,10,3.3,4.5,1.6,0.6,,10,,,,,,,,,,,,,,,,,,,,,,
,15,3.5,4.1,2.4,0.7,,15,,,,,,,,,,,,,,,,,,,,,,
,20,3.5,4.1,2.4,0.7,,20,,,,,,,,,,,,,,,,,,,,,,
,25,3.7,4.6,3.2,0.8,,25,,,,,,,,,,,,,,,,,,,,,,
,30,3.7,4.9,3.6,0.8,,30,,,,,,,,,,,,,,,,,,,,,,
,35,3.8,5.1,3.8,0.7,,35,,,,,,,,,,,,,,,,,,,,,,
,40,3.8,5.3,4,0.7,,40,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9V,,,,,,12V,,,,,,,,,,,,,,,,,,,,
3) Side Fans,Time,Jute,Cotton,Linen,Control,,Time,Jute ,Cotton,Linen,Control,,,,,,,,,,,,,,,,,,
,0,1.9,1.5,1.1,2.4,,0,5.2,5.7,2.4,2.5,,,,,,,,,,,,,,,,,,
,5,1.9,1.5,1.1,2.2,,5,5.2,5.8,2.8,2.1,,,,,,,,,,,,,,,,,,
,10,1.9,1.9,1.1,1.8,,10,5.4,5.8,3.2,1.7,,,,,,,,,,,,,,,,,,
,15,1.9,2.3,1.5,1.6,,15,5.4,6.2,3.6,1.7,,,,,,,,,,,,,,,,,,
,20,3.1,2.3,1.9,2,,20,5.6,6.2,3.2,1.3,,,,,,,,,,,,,,,,,,
,25,3.1,2.7,2.3,2,,25,5.1,6.3,3.6,1.3,,,,,,,,,,,,,,,,,,
,30,2.3,3.1,2.3,2,,30,4.8,6.3,4,1.3,,,,,,,,,,,,,,,,,,
,35,2.3,2.7,2.7,1.6,,35,4.8,6.3,4,0.5,,,,,,,,,,,,,,,,,,
,40,2.3,3.1,3.1,1.2,,40,4.7,6.4,4.1,0.9,,,,,,,,,,,,,,,,,,
